026-07-03 07:06:53 INFO     app.storage.database — PRAGMAs SQLite appliqués (WAL) [db=/home/geoffrey/.local/share/shapewear-me/shapewear.db]
2026-07-03 07:06:57 DEBUG    app.core.events — Bus d'événements démarré
2026-07-03 07:06:57 INFO     app.ui.main_window — Interface Phase 2 démarrée [version=0.1.0]
2026-07-03 07:07:01 DEBUG    app.connectors.registry — Connecteur découvert [slug=honeylove | class_=HoneyloveConnector]
2026-07-03 07:07:02 DEBUG    app.connectors.registry — Connecteur découvert [slug=shapermint | class_=ShapermintConnector]
2026-07-03 07:07:02 DEBUG    app.connectors.registry — Connecteur découvert [slug=skims | class_=SkimsConnector]
2026-07-03 07:07:02 DEBUG    app.connectors.registry — Connecteur découvert [slug=spanx | class_=SpanxConnector]
2026-07-03 07:07:03 DEBUG    app.connectors.registry — Connecteur découvert [slug=wacoal | class_=WacoalConnector]
2026-07-03 07:07:03 INFO     app.connectors.registry — Connecteurs disponibles [slugs=['honeylove', 'shapermint', 'skims', 'spanx', 'wacoal']]
2026-07-03 07:07:04 DEBUG    app.connectors.registry — Connecteur découvert [slug=honeylove | class_=HoneyloveConnector]
2026-07-03 07:07:04 DEBUG    app.connectors.registry — Connecteur découvert [slug=shapermint | class_=ShapermintConnector]
2026-07-03 07:07:04 DEBUG    app.connectors.registry — Connecteur découvert [slug=skims | class_=SkimsConnector]
2026-07-03 07:07:04 DEBUG    app.connectors.registry — Connecteur découvert [slug=spanx | class_=SpanxConnector]
2026-07-03 07:07:04 DEBUG    app.connectors.registry — Connecteur découvert [slug=wacoal | class_=WacoalConnector]
2026-07-03 07:07:04 INFO     app.connectors.registry — Connecteurs disponibles [slugs=['honeylove', 'shapermint', 'skims', 'spanx', 'wacoal']]
2026-07-03 07:07:05 INFO     app.storage.database — Base de données initialisée [url=sqlite:////home/geoffrey/.local/share/shapewear-me/shapewear.db]
2026-07-03 07:07:05 INFO     app.workflow.runner — Démarrage session [brands=['honeylove', 'shapermint', 'skims', 'spanx', 'wacoal'] | max_workers=2]
2026-07-03 07:07:05 DEBUG    app.connectors.base — Config connecteur chargée [slug=honeylove | engine=shopify_json]
2026-07-03 07:07:05 INFO     app.storage.repository — Session de crawl créée [brand_id=2 | session_id=74]
2026-07-03 07:07:05 INFO     app.workflow.runner — Crawl marque démarré [brand=honeylove | session_id=74]
2026-07-03 07:07:05 INFO     app.scraping.engine — Début de crawl [brand=honeylove | categories=6 | workers=2]
2026-07-03 07:07:05 INFO     app.scraping.engine — Crawl catégorie [brand=honeylove | category=bodysuits]
2026-07-03 07:07:05 INFO     app.scraping.engine — Crawl catégorie [brand=honeylove | category=shorts]
2026-07-03 07:07:06 DEBUG    app.scraping.pagination — Page générée [type=offset | page=1 | url=https://honeylove.com/collections/bodysuits/products.json?page=1&limit=250]
2026-07-03 07:07:06 DEBUG    app.scraping.pagination — Page générée [type=offset | page=1 | url=https://honeylove.com/collections/shorts/products.json?page=1&limit=250]
2026-07-03 07:07:07 DEBUG    app.scraping.http_client — Requête HTTP [method=GET | url=https://honeylove.com/collections/shorts/products.json?page=1&limit=250 | status=200 | duration_ms=210 | attempt=1]
2026-07-03 07:07:07 INFO     app.scraping.shopify_connector_mixin — URLs honeylove [category=shorts | count=0]
2026-07-03 07:07:07 INFO     app.scraping.engine — Crawl catégorie [brand=honeylove | category=bras]
2026-07-03 07:07:07 DEBUG    app.scraping.pagination — Page générée [type=offset | page=1 | url=https://honeylove.com/collections/bras/products.json?page=1&limit=250]
2026-07-03 07:07:09 DEBUG    app.scraping.http_client — Requête HTTP [method=GET | url=https://honeylove.com/collections/bodysuits/products.json?page=1&limit=250 | status=200 | duration_ms=232 | attempt=1]
2026-07-03 07:07:09 INFO     app.scraping.shopify_connector_mixin — URLs honeylove [category=bodysuits | count=16]
2026-07-03 07:07:10 DEBUG    app.scraping.http_client — Requête HTTP [method=GET | url=https://honeylove.com/products/cami-bodysuit.json | status=200 | duration_ms=198 | attempt=1]
2026-07-03 07:07:10 DEBUG    app.scraping.http_client — Requête HTTP [method=GET | url=https://honeylove.com/collections/bras/products.json?page=1&limit=250 | status=200 | duration_ms=273 | attempt=1]
2026-07-03 07:07:10 INFO     app.scraping.shopify_connector_mixin — URLs honeylove [category=bras | count=14]
2026-07-03 07:07:10 DEBUG    app.scraping.shopify_connector_mixin — _resolve_availability() [url=https://honeylove.com/products/cami-bodysuit.json | availability=out_of_stock]
2026-07-03 07:07:10 DEBUG    app.processing.classifier — Classification terminée [name=Cami Bodysuit | family=Bodysuit | subfamily=None | compression=Moyenne | zones=['Dos', 'Poitrine']]
2026-07-03 07:07:10 DEBUG    app.workflow.runner — Enrichissement [product=Cami Bodysuit | promo_freq=0.0 | price_stability=0.0]
2026-07-03 07:07:11 DEBUG    app.scraping.http_client — Requête HTTP [method=GET | url=https://honeylove.com/products/crossover-bra.json | status=200 | duration_ms=178 | attempt=1]
2026-07-03 07:07:11 DEBUG    app.scraping.shopify_connector_mixin — _resolve_availability() [url=https://honeylove.com/products/crossover-bra.json | availability=out_of_stock]
2026-07-03 07:07:11 DEBUG    app.processing.classifier — Classification terminée [name=CrossOver Bra | family=Bra | subfamily=Underwire Bra | compression=Extra-forte | zones=['Dos', 'Poitrine']]
2026-07-03 07:07:11 DEBUG    app.workflow.runner — Enrichissement [product=CrossOver Bra | promo_freq=0.0 | price_stability=0.0]
2026-07-03 07:07:12 DEBUG    app.scraping.http_client — Requête HTTP [method=GET | url=https://honeylove.com/products/mid-thigh-bodysuit.json | status=200 | duration_ms=201 | attempt=1]
2026-07-03 07:07:12 DEBUG    app.scraping.shopify_connector_mixin — _resolve_availability() [url=https://honeylove.com/products/mid-thigh-bodysuit.json | availability=out_of_stock]
2026-07-03 07:07:12 DEBUG    app.processing.classifier — Classification terminée [name=Mid-Thigh Bodysuit | family=Bodysuit | subfamily=Mid-Thigh Bodysuit | compression=Forte | zones=['Cuisses', 'Dos']]
2026-07-03 07:07:12 DEBUG    app.workflow.runner — Enrichissement [product=Mid-Thigh Bodysuit | promo_freq=0.0 | price_stability=0.0]
2026-07-03 07:07:13 DEBUG    app.scraping.http_client — Requête HTTP [method=GET | url=https://honeylove.com/products/crossover-cami-bodysuit.json | status=200 | duration_ms=206 | attempt=1]
2026-07-03 07:07:13 DEBUG    app.scraping.shopify_connector_mixin — _resolve_availability() [url=https://honeylove.com/products/crossover-cami-bodysuit.json | availability=in_stock]
2026-07-03 07:07:13 DEBUG    app.processing.classifier — Classification terminée [name=CrossOver Cami Bodysuit | family=Bodysuit | subfamily=None | compression=Moyenne | zones=['Taille']]
2026-07-03 07:07:13 DEBUG    app.workflow.runner — Enrichissement [product=CrossOver Cami Bodysuit | promo_freq=0.0 | price_stability=0.0]
2026-07-03 07:07:14 DEBUG    app.scraping.http_client — Requête HTTP [method=GET | url=https://honeylove.com/products/softform-bra.json | status=200 | duration_ms=236 | attempt=1]
2026-07-03 07:07:14 DEBUG    app.scraping.shopify_connector_mixin — _resolve_availability() [url=https://honeylove.com/products/softform-bra.json | availability=in_stock]
2026-07-03 07:07:14 DEBUG    app.processing.classifier — Classification terminée [name=SoftForm Bra | family=Bra | subfamily=Underwire Bra | compression=Extra-forte | zones=['Dos']]
2026-07-03 07:07:14 DEBUG    app.workflow.runner — Enrichissement [product=SoftForm Bra | promo_freq=0.0 | price_stability=0.0]
2026-07-03 07:07:15 DEBUG    app.scraping.http_client — Requête HTTP [method=GET | url=https://honeylove.com/products/cami-thong-bodysuit.json | status=200 | duration_ms=181 | attempt=1]
